적외선 리모콘

              HEX        DEC            OCT           BIN
전원       FD00FF    16580863    77200377      111111010000000011111111
VOL+     FD807F    16613503    77300177      111111011000000001111111
FUNC     FD40BF    16597183    77240277      111111010100000010111111
|<<        FD20DF    16589023    77220337     111111010010000011011111
>||         FDA05F    16621663    77320137      111111011010000001011111
>>|        FD609F    16605343   77260237      111111010110000010011111
▼         FD10EF     16584943   77210357      111111010001000011101111
VOL-      FD906F    16617583   77310157       111111011001000001101111
▲         FD50AF     16601263   77250257      111111010101000010101111
0          FD30CF     16593103   77230317      111111010011000011001111
EQ        FDB04F     16625743   77330117      111111011011000001001111
ST        FD708F      16609423  77270217       111111010111000010001111
1         FD08F7      16582903   77204367       111111010000100011110111
2         FD8877      16615543   77304167       111111011000100001110111
3         FD48B7      16599233   77244267      111111010100100010110111
4         FD28D7     16591063   77224327      111111010010100011010111
5         FDA857     16623703   77324127      111111011010100001010111
6         FD6897      16607383  77264227      111111010110100010010111
7         FD18E7      16586983  77214347      111111010001100011100111
8         FD9867      16619623  77314147      111111011001100001100111
9         FD58A7     16603303  77254247       111111010101100010100111
